player,stat_type,line,recommendation,best_edge,prob_over_calibrated,pred_mean,over_odds,under_odds,defense_multiplier,home_away_multiplier,opponent_team
Jonnu Smith,receiving_yards,26.5,UNDER,0.1959003440287658,0.2802901321617103,12.152819677160547,-114.0,-110.0,0.5817254120540185,0.9763440860215054,LAC
Jordan Whittington,receptions,1.5,OVER,0.1947589900518253,0.6849550684831979,1.89520430552805,104.0,-132.0,0.6206624605678234,1.5,JAX
Van Jefferson,receptions,2.5,UNDER,0.1941726462274408,0.3492063492063492,1.3858540485550586,-153.0,119.0,0.5878422712933754,1.0,LAC
Jakobi Meyers,receptions,5.5,UNDER,0.194162826420891,0.2666666666666666,2.444499678078178,-109.0,-117.0,0.587819896797376,1.0,HOU
Darnell Mooney,receptions,3.5,UNDER,0.194162826420891,0.2666666666666666,1.446485597771684,-109.0,-117.0,0.6197397476340694,1.48,IND
Andrei Iosivas,receiving_yards,13.5,OVER,0.1938839848675914,0.7131147540983607,28.323808954344525,-108.0,-117.0,0.6133869630707344,1.8385185185185184,CHI
Andrei Iosivas,receiving_yards,15.5,OVER,0.1938839848675914,0.7131147540983607,28.323808954344525,-108.0,-116.0,0.6133869630707344,1.8385185185185184,CHI
Theo Johnson,receiving_yards,20.5,OVER,0.1938839848675914,0.7131147540983607,25.53006447429619,-108.0,-116.0,0.6133869630707344,1.3670781893004116,CHI
Samaje Perine,rushing_yards,30.5,OVER,0.1927546138072454,0.7142857142857143,43.72699758778795,-109.0,-115.0,0.5641780787809372,1.8253658536585369,CHI
Cedric Tillman,receiving_yards,46.5,UNDER,0.1921101271285495,0.2773734409465678,9.172070930887765,-111.0,-113.0,0.5901763188659752,0.7333333333333333,NYJ
Bucky Irving,receiving_yards,21.5,OVER,0.1915836536198918,0.7131147540983607,30.064363943483837,-109.0,-115.0,0.6003885696588209,1.5310344827586206,PHI
David Montgomery,receiving_yards,7.5,OVER,0.1915836536198918,0.7131147540983607,11.963327477279527,-109.0,-116.0,0.6219481116804085,1.3400000000000003,WAS
Troy Franklin,receiving_yards,19.5,OVER,0.1915836536198918,0.7131147540983607,28.83709256690344,-109.0,-115.0,0.5981982364655004,1.155056179775281,LV
Michael Wilson,receiving_yards,22.5,OVER,0.1915836536198918,0.7131147540983607,29.010834792872895,-109.0,-116.0,0.6055889757985813,1.1814634146341465,SEA
Michael Wilson,receiving_yards,21.5,OVER,0.1915836536198918,0.7131147540983607,29.010834792872895,-109.0,-115.0,0.6055889757985813,1.1814634146341465,SEA
Dawson Knox,receiving_yards,10.5,OVER,0.1915836536198918,0.7131147540983607,13.96151448534277,-109.0,-115.0,0.5955589566095187,1.1538461538461535,MIA
Jake Browning,rushing_yards,11.5,UNDER,0.1913875598086125,0.2631578947368421,3.9424258784314694,-105.0,-120.0,0.5432965428919628,2.4285714285714284,DET
Kenneth Walker III,receptions,1.5,UNDER,0.1904862963861266,0.3486842105263157,0.745670004837749,-150.0,117.0,0.6124336763717226,0.984,ARI
Cole Kmet,receptions,1.5,UNDER,0.1904862963861266,0.3486842105263157,0.6106749320728614,-149.0,117.0,0.6141132296697468,0.8285714285714285,NYG
Garrett Wilson,receptions,4.5,UNDER,0.1904862963861266,0.3486842105263157,2.5157803247084236,-149.0,117.0,0.5836541659527721,0.8,CLE
RJ Harvey,rushing_yards,17.5,OVER,0.1904761904761904,0.7142857142857143,28.81657243415533,-110.0,-114.0,0.5485937247014342,2.9612903225806453,LV
Justin Herbert,rushing_yards,16.5,OVER,0.1904761904761904,0.7142857142857143,25.837083631339972,-110.0,-114.0,0.5493825838686652,1.0912280701754389,PIT
