week,player,position,market,pick,line,model_prob,model_projection,market_prob,edge,actual_value,actual_outcome,predicted_outcome,bet_won,prediction_correct,profit,result
7,J.Jefferson,WR,player_reception_yds,Over 84.5,84.5,0.5933147726114074,89.8,0.5238095238095238,0.0695052488018835,79,UNDER,OVER,False,False,-1.0,unknown
5,J.Waddle,WR,player_receptions,Under 4.5,4.5,0.593009769791541,4.25,0.5238095238095238,0.0692002459820171,6,OVER,UNDER,False,False,-1.0,unknown
5,D.Adams,WR,player_receptions,Under 4.5,4.5,0.593009769791541,4.25,0.5238095238095238,0.0692002459820171,5,OVER,UNDER,False,False,-1.0,unknown
5,H.Fannin,TE,player_receptions,Under 4.5,4.5,0.593009769791541,4.25,0.5238095238095238,0.0692002459820171,4,UNDER,UNDER,True,True,0.909,unknown
5,D.Smith,WR,player_receptions,Under 4.5,4.5,0.593009769791541,4.25,0.5238095238095238,0.0692002459820171,8,OVER,UNDER,False,False,-1.0,unknown
5,K.Coleman,WR,player_receptions,Under 4.5,4.5,0.593009769791541,4.25,0.5238095238095238,0.0692002459820171,4,UNDER,UNDER,True,True,0.909,unknown
3,D.Metcalf,WR,player_reception_yds,Under 54.5,54.5,0.5921230666149637,51.5,0.5238095238095238,0.0683135428054398,32,UNDER,UNDER,True,True,0.909,unknown
2,J.Herbert,QB,player_pass_yds,Over 299.5,299.5,0.5920045248270667,318.0,0.5238095238095238,0.0681950010175428,242,UNDER,OVER,False,False,-1.0,unknown
7,C.Williams,QB,player_pass_yds,Under 249.5,249.5,0.5918864572811651,235.8,0.5238095238095238,0.0680769334716412,172,UNDER,UNDER,True,True,0.909,unknown
4,C.Williams,QB,player_pass_yds,Over 224.5,224.5,0.5917961693056186,238.33333333333331,0.5238095238095238,0.0679866454960947,212,UNDER,OVER,False,False,-1.0,unknown
4,S.Diggs,WR,player_reception_yds,Under 39.5,39.5,0.591786470626147,37.333333333333336,0.5238095238095238,0.0679769468166231,101,OVER,UNDER,False,False,-1.0,unknown
8,J.Waddle,WR,player_reception_yds,Over 54.5,54.5,0.5917693481288313,57.85714285714285,0.5238095238095238,0.0679598243193074,99,OVER,OVER,True,True,0.909,unknown
3,B.Cooks,WR,player_reception_yds,Over 24.5,24.5,0.5912529568183097,26.0,0.5238095238095238,0.0674434330087858,24,UNDER,OVER,False,False,-1.0,unknown
2,N.Fant,TE,player_reception_yds,Over 24.5,24.5,0.5912529568183097,26.0,0.5238095238095238,0.0674434330087858,28,OVER,OVER,True,True,0.909,unknown
4,B.Hall,RB,player_reception_yds,Over 24.5,24.5,0.5912529568183097,26.0,0.5238095238095238,0.0674434330087858,30,OVER,OVER,True,True,0.909,unknown
2,Z.Ertz,TE,player_reception_yds,Over 24.5,24.5,0.5912529568183097,26.0,0.5238095238095238,0.0674434330087858,64,OVER,OVER,True,True,0.909,unknown
5,C.Godwin,WR,player_reception_yds,Over 24.5,24.5,0.5912529568183097,26.0,0.5238095238095238,0.0674434330087858,26,OVER,OVER,True,True,0.909,unknown
2,D.Brown,WR,player_reception_yds,Over 24.5,24.5,0.5912529568183097,26.0,0.5238095238095238,0.0674434330087858,57,OVER,OVER,True,True,0.909,unknown
2,B.Cooks,WR,player_reception_yds,Over 24.5,24.5,0.5912529568183097,26.0,0.5238095238095238,0.0674434330087858,26,OVER,OVER,True,True,0.909,unknown
2,J.Chase,WR,player_reception_yds,Over 24.5,24.5,0.5912529568183097,26.0,0.5238095238095238,0.0674434330087858,165,OVER,OVER,True,True,0.909,unknown
4,O.Zaccheaus,WR,player_reception_yds,Over 24.5,24.5,0.5912529568183097,26.0,0.5238095238095238,0.0674434330087858,41,OVER,OVER,True,True,0.909,unknown
6,M.Pittman,WR,player_receptions,Under 5.5,5.5,0.5912529568183096,5.2,0.5238095238095238,0.0674434330087857,2,UNDER,UNDER,True,True,0.909,unknown
7,Q.Johnston,WR,player_receptions,Under 5.5,5.5,0.5912529568183096,5.2,0.5238095238095238,0.0674434330087857,2,UNDER,UNDER,True,True,0.909,unknown
7,T.McBride,TE,player_reception_yds,Over 54.5,54.5,0.5911668407309678,57.833333333333336,0.5238095238095238,0.0673573169214439,74,OVER,OVER,True,True,0.909,unknown
8,A.Rodgers,QB,player_pass_yds,Over 199.5,199.5,0.5909235220630209,211.66666666666663,0.5238095238095238,0.067113998253497,219,OVER,OVER,True,True,0.909,unknown
5,K.Walker,RB,player_rush_yds,Under 64.5,64.5,0.5907630247102165,61.0,0.5238095238095238,0.0669535009006926,86,OVER,UNDER,False,False,-1.0,unknown
