week,player,position,market,pick,line,model_prob,model_projection,market_prob,edge,actual_value,actual_outcome,predicted_outcome,bet_won,prediction_correct,profit
1,J.Jeudy,WR,player_reception_yds,Under 69.5,69.5,0.92,50.0,0.5238095238095238,0.3961904761904762,66,UNDER,UNDER,True,True,0.909
1,R.Bateman,WR,player_receptions,Over 2.5,2.5,0.92,4.5,0.5238095238095238,0.3961904761904762,2,UNDER,OVER,False,False,-1.0
1,N.Collins,WR,player_reception_yds,Under 69.5,69.5,0.92,50.0,0.5238095238095238,0.3961904761904762,25,UNDER,UNDER,True,True,0.909
1,J.Warren,RB,player_reception_yds,Under 54.5,54.5,0.92,25.0,0.5238095238095238,0.3961904761904762,22,UNDER,UNDER,True,True,0.909
1,N.Collins,WR,player_receptions,Over 2.5,2.5,0.92,4.5,0.5238095238095238,0.3961904761904762,3,OVER,OVER,True,True,0.909
1,J.Waddle,WR,player_receptions,Under 6.5,6.5,0.92,4.5,0.5238095238095238,0.3961904761904762,4,UNDER,UNDER,True,True,0.909
1,J.Waddle,WR,player_receptions,Over 2.5,2.5,0.92,4.5,0.5238095238095238,0.3961904761904762,4,OVER,OVER,True,True,0.909
1,J.Waddle,WR,player_reception_yds,Under 84.5,84.5,0.92,50.0,0.5238095238095238,0.3961904761904762,30,UNDER,UNDER,True,True,0.909
1,J.Waddle,WR,player_reception_yds,Under 69.5,69.5,0.92,50.0,0.5238095238095238,0.3961904761904762,30,UNDER,UNDER,True,True,0.909
1,J.Waddle,WR,player_reception_yds,Over 24.5,24.5,0.92,50.0,0.5238095238095238,0.3961904761904762,30,OVER,OVER,True,True,0.909
1,C.Hubbard,RB,player_receptions,Under 6.5,6.5,0.92,3.0,0.5238095238095238,0.3961904761904762,3,UNDER,UNDER,True,True,0.909
1,C.Hubbard,RB,player_receptions,Under 5.5,5.5,0.92,3.0,0.5238095238095238,0.3961904761904762,3,UNDER,UNDER,True,True,0.909
1,C.Hubbard,RB,player_receptions,Under 4.5,4.5,0.92,3.0,0.5238095238095238,0.3961904761904762,3,UNDER,UNDER,True,True,0.909
1,C.Hubbard,RB,player_reception_yds,Under 84.5,84.5,0.92,25.0,0.5238095238095238,0.3961904761904762,32,UNDER,UNDER,True,True,0.909
