week,player,stat_type,line,pred_mean,actual,bet_side,model_prob,edge,won
7,Jake Ferguson,receiving_yards,40.5,82.73570743784886,29,over,0.8050325625538326,0.2767306757613798,False
7,Luke McCaffrey,receiving_yards,40.5,19.604266471004962,0,under,0.8675163932015013,0.3369999612766187,True
7,Jaylin Lane,receiving_yards,38.5,22.230035748855876,60,under,0.7892176678904532,0.2565073875166215,False
7,Chris Moore,receiving_yards,36.5,22.775656377256396,59,under,0.7438041460883564,0.21773779537745597,False
7,KaVontae Turpin,receiving_yards,18.5,28.556367281571216,17,over,0.6600688005331636,0.1362592767236398,False
7,Javonte Williams,receiving_yards,15.5,0.0,2,under,1.0,0.4608294930875576,True
7,Jacory Croskey-Merritt,receiving_yards,12.5,0.0,-1,under,1.0,0.47393364928909953,True
7,Jalen Tolbert,receiving_yards,7.5,24.524821012056346,16,over,0.7770613711692205,0.24002433413218338,True
7,Zach Ertz,receptions,4.5,2.60771,3,under,0.8485256404689552,0.38769614738139757,True
7,George Pickens,receptions,4.5,4.91413,4,over,0.5679150137134561,0.08482322627384259,False
7,Jaylin Lane,receptions,3.5,1.6508049999999999,3,under,0.9058305633915329,0.32777149166157504,True
7,Chris Moore,receptions,3.5,1.60485,2,under,0.9144852110068862,0.2876195393650951,True
7,Luke McCaffrey,receptions,3.5,1.493375,0,under,0.932558027237823,0.2988583935381893,True
7,Javonte Williams,receptions,2.5,0.0,1,under,1.0,0.5260663507109005,True
7,Jacory Croskey-Merritt,receptions,2.5,0.0,1,under,1.0,0.3472222222222222,True
7,Jalen Tolbert,receptions,0.5,1.6508049999999999,1,over,0.7935147920364938,0.1150582003966224,True
7,Jacory Croskey-Merritt,rushing_yards,67.5,93.67248771029944,33,over,0.6750484362433857,0.1512389124338619,False
7,Mac Jones,passing_yards,242.5,165.43185630121724,152,under,0.8259567058220928,0.29544027389721017,True
7,Michael Penix Jr.,passing_yards,221.5,162.2228036595661,241,under,0.7691722150842324,0.23865578315934977,False
7,Kendrick Bourne,receiving_yards,48.5,81.3654105546013,14,over,0.7543447788584452,0.23053525504892136,False
7,Christian McCaffrey,receiving_yards,45.5,0.0,72,under,1.0,0.4672897196261683,False
7,Bijan Robinson,receiving_yards,37.5,0.0,52,under,1.0,0.4716981132075472,False
7,Darnell Mooney,receiving_yards,32.5,41.26217652643063,68,over,0.6183563389558819,0.08564605858205021,True
7,Demarcus Robinson,receiving_yards,16.5,31.163563936389767,0,over,0.7294363569786374,0.20790525650016856,False
7,Drake London,receptions,5.5,5.284695,4,under,0.5341573823029981,0.05568848278146704,True
7,Christian McCaffrey,receptions,5.5,0.0,7,under,1.0,0.47393364928909953,False
7,Bijan Robinson,receptions,4.5,0.0,6,under,1.0,0.5121951219512195,False
7,Kendrick Bourne,receptions,4.5,4.872075,2,over,0.5612945845821937,0.05149066301356631,False
7,Kyle Pitts,receptions,3.5,3.1059699999999997,7,under,0.5781631231619095,0.08065068535096426,False
7,Demarcus Robinson,receptions,1.5,2.42112,0,over,0.7055306610109019,0.15801934879370727,False
7,Bijan Robinson,rushing_yards,78.5,101.34283620527202,40,over,0.6428261804848466,0.11675982977394617,False
7,Tyler Allgeier,rushing_yards,31.5,96.90069020549464,16,over,0.8707750454447987,0.33589132451456616,False
7,Jared Goff,passing_yards,260.5,169.42233425081074,241,under,0.8616476541595885,0.3311312222347059,True
7,Baker Mayfield,passing_yards,244.5,146.72698385750564,228,under,0.9075918993265364,0.3815255486156359,True
7,Amon-Ra St. Brown,receiving_yards,75.5,87.58280241989556,86,over,0.5932896932185885,0.06498780642613566,True
7,Jameson Williams,receiving_yards,46.5,40.03002187330153,0,under,0.5895540993802553,0.0634877486693548,True
7,Jahmyr Gibbs,receiving_yards,24.5,0.0,82,under,1.0,0.47393364928909953,False
7,Rachaad White,receiving_yards,21.5,0.0,6,under,1.0,0.47846889952153115,True
7,David Montgomery,receiving_yards,8.5,0.0,18,under,1.0,0.47619047619047616,False
7,Amon-Ra St. Brown,receptions,6.5,4.915040000000001,6,under,0.7436661316454076,0.2763764120192394,True
7,Sam LaPorta,receptions,4.5,3.6124199999999997,3,under,0.659617241084343,0.08334605464366507,True
7,Rachaad White,receptions,4.5,0.0,4,under,1.0,0.3861003861003861,True
7,Jahmyr Gibbs,receptions,3.5,0.0,3,under,1.0,0.3891050583657587,True
7,David Montgomery,receptions,1.5,0.0,2,under,1.0,0.40816326530612246,False
7,Jahmyr Gibbs,rushing_yards,60.5,78.58031497852103,136,over,0.64777853198647,0.11506825161263823,True
7,Rachaad White,rushing_yards,50.5,76.87197780385215,38,over,0.7134430275101203,0.17855930657988783,False
7,David Montgomery,rushing_yards,45.5,89.8096662593023,21,over,0.7934346055547515,0.2696250817452277,False
7,Sam Darnold,passing_yards,225.5,159.2103500033482,213,under,0.7941929181799336,0.263676486255051,True
